ADF
Ash
"Calcium, Ca"
"Cobalt, Co"
"Copper, Cu"
Dry Matter
Fat
Gross Energy
"Iodine, I"
"Iron, Fe"
Lignin
"Magnesium, Mg"
"Manganese, Mn"
"Molybdenum, Mo"
NDF
NFC
"Phosphorus, P"
"Potassium, K"
Protein
"Selenium, Se"
"Sodium, Na"
Starch
"Sugars, Simple (ESC)"
"Sugars, Total (WSC)"
"Sulfur, S"
"Zinc, Zn"
ADF
Ash
"Calcium, Ca"
"Cobalt, Co"
"Copper, Cu"
Dry Matter
Fat
Gross Energy
"Iodine, I"
"Iron, Fe"
Lignin
"Magnesium, Mg"
"Manganese, Mn"
"Molybdenum, Mo"
NDF
NFC
"Phosphorus, P"
"Potassium, K"
Protein
"Selenium, Se"
"Sodium, Na"
Starch
"Sugars, Simple (ESC)"
"Sugars, Total (WSC)"
"Sulfur, S"
"Zinc, Zn"
ADF
Ash
"Calcium, Ca"
"Cobalt, Co"
"Copper, Cu"
Dry Matter
Fat
Gross Energy
"Iodine, I"
"Iron, Fe"
Lignin
"Magnesium, Mg"
"Manganese, Mn"
"Molybdenum, Mo"
NDF
NFC
"Phosphorus, P"
"Potassium, K"
Protein
"Selenium, Se"
"Sodium, Na"
Starch
"Sugars, Simple (ESC)"
"Sugars, Total (WSC)"
"Sulfur, S"
"Zinc, Zn"
ADF
Ash
"Calcium, Ca"
"Cobalt, Co"
"Copper, Cu"
Dry Matter
Fat
Gross Energy
"Iodine, I"
"Iron, Fe"
Lignin
"Magnesium, Mg"
"Manganese, Mn"
"Molybdenum, Mo"
NDF
NFC
"Phosphorus, P"
"Potassium, K"
Protein
"Selenium, Se"
"Sodium, Na"
Starch
"Sugars, Simple (ESC)"
"Sugars, Total (WSC)"
"Sulfur, S"
"Zinc, Zn"
ADF
Ash
"Calcium, Ca"
"Cobalt, Co"
"Copper, Cu"
Dry Matter
Fat
Gross Energy
"Iodine, I"
"Iron, Fe"
Lignin
"Magnesium, Mg"
"Manganese, Mn"
"Molybdenum, Mo"
NDF
NFC
"Phosphorus, P"
"Potassium, K"
Protein
"Selenium, Se"
"Sodium, Na"
Starch
"Sugars, Simple (ESC)"
"Sugars, Total (WSC)"
"Sulfur, S"
"Zinc, Zn"
ADF
Ash
"Calcium, Ca"
"Cobalt, Co"
"Copper, Cu"
Dry Matter
Fat
Gross Energy
"Iodine, I"
"Iron, Fe"
Lignin
"Magnesium, Mg"
"Manganese, Mn"
"Molybdenum, Mo"
NDF
NFC
"Phosphorus, P"
"Potassium, K"
Protein
"Selenium, Se"
"Sodium, Na"
Starch
"Sugars, Simple (ESC)"
"Sugars, Total (WSC)"
"Sulfur, S"
"Zinc, Zn"
ADF
Ash
"Calcium, Ca"
"Cobalt, Co"
"Copper, Cu"
Dry Matter
Fat
"Iodine, I"
"Iron, Fe"
"Magnesium, Mg"
"Manganese, Mn"
"Molybdenum, Mo"
NDF
NFC
"Phosphorus, P"
"Potassium, K"
Protein
"Selenium, Se"
"Sodium, Na"
Starch
"Sugars, Simple (ESC)"
"Sugars, Total (WSC)"
"Sulfur, S"
"Zinc, Zn"
